"URL";"Name";"ID";"Category";"Description";"Keywords";"Version";"Age.Rating";"Language.s.";"Developer.ID";"Developer.Name";"Developer.URL";"Price";"Currency";"Size";"Last.Update.Date";"Release.Date";"Average.user.rating";"Number.of.user.ratings";"X..of.user.ratings.with.5.stars";"X..of.user.ratings.with.4.stars";"X..of.user.ratings.with.3.stars";"X..of.user.ratings.with.2.stars";"X..of.user.ratings.with.1.star";"Date"
"https://itunes.apple.com/us/app/ololpg-exchange/id1323255747?mt=8";"OLOLPG Exchange";1323255747;"Medical";"OLOLPG Exchange is a communications and networking app made available exclusively to Our Lady of the Lake Physician Group providers. Users can search for a provider by specialty or by name, learn more about other providers within the Physician Group or contact a provider directly.";"OLOLPG Exchange, Envoc, Reference, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";NA;12;"English";447475713;"Envoc";"https://itunes.apple.com/us/developer/envoc/id447475713?mt=8";0;NA;104;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-25"
"https://itunes.apple.com/us/app/beloit-ptrak/id1340539113?mt=8";"Beloit pTrak";1340539113;"Medical";"Ensure you know the status of your loved one during a surgical experience at Beloit Health System hospitals. The Beloit Patient Trak (pTrak) is an application that allows family and friends to follow their loved ones surgical progress, from registration to recovery. Instead of being tied to a surgery waiting room for hours or being limited to the hospital facility by the geographic reach of a restaurant-style pager, now loved ones can use their mobile phones to receive notifications when the patient has moved through various stages of the surgical process, and, most importantly, they can be sure to be on site when the patient has recovered and can have visitors. Even family and friends who are out of state can follow the patients physical journey. This technology is available at select hospitals in Beloit Health System.-Real-time Alerts: Alerts are real-time messages sent to whomever the patient chooses throughout the surgical journey.-Freedom of movement: Distance is not an obstacle; this app eliminates the problem of being tied to a surgery waiting room or to a hospital area or even the hospital campus or town.-Reassurance: Alerts keep loved ones apprised of the patients journey.Reunited: Alerts allow loved ones apprised of the patients journey.-Reunited: Alerts allow loved ones to ensure they are present when the patient has recovered from surgery and is ready for visitors";"Beloit pTrak, Intelligent Locations, LLC, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";NA;12;"English";1122387577;"Intelligent Locations, LLC";"https://itunes.apple.com/us/developer/intelligent-locations-llc/id1122387577?mt=8";0;NA;7,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-25"
"https://itunes.apple.com/us/app/pit-control/id1339142788?mt=8";"PIT Control";1339142788;"Medical";"PIT Control allows you to wirelessly control your UVA PIT System.* Graphical control flow makes it easy to use your UVA PIT System* Store all treatment records, including a detailed description and history of the therapy* Export all or a single treatment record in Excel/CSV or PDF formatContact us for more information on how to upgrade your UVA PIT System to make it compatible with PIT Control.";"PIT Control, DELCOMp, Medical, Utilities, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.2";4;"English";511888352;"Delcomp";"https://itunes.apple.com/us/developer/delcomp/id511888352?mt=8";0;NA;12,1;"2018-08-10";"2018-04-11";NA;NA;NA;NA;NA;NA;NA;"2018-10-26"
"https://itunes.apple.com/us/app/cross-reactivity/id1373632873?mt=8";"Cross-Reactivity";1373632873;"Medical";"Siemens Healthineers drugs-of-abuse cross-reactivity app helps you quickly access information on drug interactions and assess the potential for cross-reactivity and false-positive results.";"Cross-Reactivity, Siemens Healthineers, Medical, Education, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";NA;12;"English";1315681637;"Siemens Healthcare GmbH";"https://itunes.apple.com/us/developer/siemens-healthineers/id1315681637?mt=8";0;NA;34,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-25"
"https://itunes.apple.com/us/app/doctor-crm/id890423270?mt=8";"Doctor CRM";890423270;"Medical";"Doctor CRM  manage appointments, patients and reports effectivelyDoctor CRM is an application designed for doctors. It is an organizational tool that allows doctors to have an overview on their planning, keep track of their appointments, access their health records, no matter where they are.The app provides doctors with a way to be more effective and efficient. features:- Effectively manage your business contacts (colleagues, patients and medical sales representatives, institutions such as hospitals and clinics) and personal contacts from your tablet- Have visibility into your daily schedule, weekly and monthly- Keep track of your appointments- Enter your patient visit report directly on your tablet- Export your contacts to PDF, CSV and Excel formats";"Doctor CRM, Apptiv-IT, Medical, Productivity, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.2";4;"English, French";523055232;"STE APPTIV-IT";"https://itunes.apple.com/us/developer/apptiv-it/id523055232?mt=8";0;NA;17,6;"2014-11-08";"2014-06-17";NA;NA;NA;NA;NA;NA;NA;"2018-10-25"
"https://itunes.apple.com/us/app/personal-records/id1200652670?mt=8";"Personal Records";1200652670;"Health&Fitness";"Personal Records is the fastest way to record and search your results in many types of workouts. Personal Records does a great job of recording results for the workouts that are important to you. Designed for the typical gym-goer who does not care to track and log EVERY workout but still wants to see how they are progressing in important movements.Calculate 80% of your best back squat either from the app or from the new Apple Watch app. The Personal Records app allows you to: Instantly see your personal records in all of your workouts on the main screen. Categorize your workouts with Tags. Calculate the percentages of your best lifts within the app. Instantly see how you are progressing in a workout through time.The PR app has support for tracking workouts that are scored by: Fastest time As many rounds as possible (AMRAP) As many repetitions as possible Heaviest weight And, as of version 2.8, you can track workouts with any units you choose!Spend less time logging, and more time exercising. Suggestions? Comments? Drop us a line @PersonalRecordsApp on Facebook or leave a review.CrossFit is a registered trademark of CrossFit Inc. This app is not affiliated with CrossFit Inc. in any way.";"Personal Records, Jory Cooper, Health & Fitness, Lifestyle, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"2.10";4;"English";951259993;"Jory Cooper";"https://itunes.apple.com/us/developer/jory-cooper/id951259993?mt=8";0;NA;26,5;"2018-02-28";"2017-01-31";4,7;96;84;0;2;10;3;"2018-10-26"
"https://itunes.apple.com/us/app/pccn-pocket-prep/id964931130?mt=8";"PCCN Pocket Prep";964931130;"Medical";"Pocket Prep is your award-winning tool in mobile learning and exam preparation. Pocket Prep allows you to study anywhere, anytime, right from your mobile device. We strive to make studying more efficient by redefining how you prepare for the Progressive Care Certified Nurse (PCCN) exam.* Academics Choice Smart Media award winner* EdTech Digest Cool Tool award winnerThe Science Behind Mobile Learning:Overloading your brain with too much information at once is a common study mistake. Research has shown that smaller, more frequent study sessions are the key to knowledge retention. In other words, taking short quizzes on the go is a much more effective means of exam preparation than reading page after page in a textbook. Apps offer the benefit of interaction, which means youre far more likely to remember a concept you engage with rather than one youve only read about.Take your PCCN studies with you, no matter where life takes you.PCCN Content Areas:- Cardiovascular- Pulmonary- Endocrine, Hematology, Gastrointestinal, & Renal- Neurology, Multisystem, & Behavioral- Professional Caring & Ethical PracticeGet Started for Free:We provide a limited free version so you can get a feel for the app before deciding to upgrade. The free version offers 74 questions with detailed answer explanations.- 30 free questions available with download- 30 free bonus questions available through social media- 14-day access to the Question of the Day (QOTD)- Comprehensive test-taking strategy guideUnlock the Ultimate Mobile Learning Experience:A one-time in-app purchase grants full lifetime access to our PCCN app.- 450 total practice questions and detailed rationales- Lifetime access to Question of the Day (QOTD)- Unlock all social media bonus questions- Unlock Exam Builder to create customized exams- Priority in-app supportPocket Prep Features:- No internet required- Study Modes: See answers as you go or at the end- Retake past exams with a single tap- Study reminders and QOTD notifications- Automatic test saving and retrieval- Detailed history and results reporting- Exam day countdown- Multi-device readyOur team of writers and editors are industry leaders who have meticulously crafted progressive care practice questions and detailed answer explanations with you in mind. Since 2011, Pocket Prep has been the leader in mobile learning and has helped over five million students and professionals achieve more.Need help? Contact us through the apps support section at any time for a response within a few hours.";"PCCN Pocket Prep, Pocket Prep, Inc., Medical, Education, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"6.5.6";12;"English";478383132;"Pocket Prep, Inc.";"https://itunes.apple.com/us/developer/pocket-prep-inc/id478383132?mt=8";0;NA;58,8;"2018-09-10";"2015-03-10";4,6;248;73;0;4;20;2;"2018-10-26"
"https://itunes.apple.com/us/app/vaxontime-immunisation-reminders-for-victorians/id1063193669?mt=8";"VaxOnTime  Immunisation reminders for Victorians";1063193669;"Medical";"Vax-on-Time has been developed by the Victorian Department of Health and Human Services to help remind parents and carers in Victoria (Australia) when immunisations for their children are due.Receive reminder notifications leading up to when your child is due for their vaccinations. Search for a local an immunisation provider, call and make an appointment for vaccinations or find out when immunisation sessions are being run by your local council. The app will also help you add an appointment to your devices calendar.  Learn more by following the links to links to quality-assured information from the Better Health Channel about immunisation.";"VaxOnTime  Immunisation reminders for Victorians, Department of Health (Victoria), Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.3";12;"English";463383481;"Department of Health - Victoria, Australia";"https://itunes.apple.com/us/developer/department-of-health-victoria/id463383481?mt=8";0;NA;66,5;"2017-05-12";"2015-12-13";NA;NA;NA;NA;NA;NA;NA;"2018-10-25"
"https://itunes.apple.com/us/app/hello-doctor/id655560029?mt=8";"Hello Doctor";655560029;"Health&Fitness";"At Hello Doctor, its all about health, and its all about you. Hello Doctor gives you instant access to doctors, anytime, anywhere, through your mobile phone. Text or talk to a registered medical doctor for free, and receive customised daily health advice at the touch of a button. Conversations with our doctors are completely private and confidential.You can also now get access to other experts if the benefit is activated by your provider.Hello Doctor is exclusively available to clients of MMI and its partners.If youd like to get Hello Doctors suite of services as a benefit for your organisation, go to www.hellodoctor.co.za/MMI for more information.";"Hello Doctor, Hello Doctor, Health & Fitness, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"3.0.1";17;"English";655560032;"Hello Doctor Pty Ltd";"https://itunes.apple.com/us/developer/hello-doctor/id655560032?mt=8";0;NA;33,4;"2018-08-03";"2013-08-13";NA;NA;NA;NA;NA;NA;NA;"2018-10-26"
"https://itunes.apple.com/us/app/xmas-2017-hd-photo-frames-frame-booth/id1167315241?mt=8";"Xmas 2017 Hd Photo Frames - Frame Booth";1167315241;"Medical";"Would you like your pictures to be appearing in the beautiful frame? These fantasy frames are ideal for you to frame your memories and make them unforgettable. Using this app you can make photos more beautiful by decorating them with fantastic photo frames and effects.This app is the special Edition for this Year. Make your holidays as a great moment using this creative 500+ online frames.Features----------------------------------------------------------------- Select a photo from the gallery or take photos using camera.- Multiple stylish photo frames for your picture.- Apply effects to your picture.- Adjust position, size, angle of your photo by just finger gestures.- Save your image to Gallery.- Easy to use.- Share your creations via Facebook, Twitter, Flickr, email, and other social networks.";"Xmas 2017 Hd Photo Frames - Frame Booth, Vaghani Harshoben, Photo & Video, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";NA;4;"English";1166970892;"Vaghani Harshoben";"https://itunes.apple.com/us/developer/vaghani-harshoben/id1166970892?mt=8";0;NA;8,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-25"
